 lga_code, lga_name,year, homeless_f_0_9, at_risk_f_0_9, homeless_m_0_9, at_risk_m_0_9, homeless_f_10_19, at_risk_f_10_19, homeless_m_10_19, at_risk_m_10_19, homeless_f_20_29, at_risk_f_20_29, homeless_m_20_29, at_risk_m_20_29, homeless_f_30_39, at_risk_f_30_39, homeless_m_30_39, at_risk_m_30_39, homeless_f_40_49, at_risk_f_40_49, homeless_m_40_49, at_risk_m_40_49, homeless_f_50_59, at_risk_f_50_59, homeless_m_50_59, at_risk_m_50_59, homeless_f_60_plus, at_risk_f_60_plus, homeless_m_60_plus, at_risk_m_60_plus,unknown_f,unknown_m
25710,Nillumbik,2018,0,7,3,0,4,6,0,3,8,5,5,0,7,13,3,0,6,13,3,4,0,7,6,0,0,8,0,5,11,9
25810,Northern Grampians,2018,4,9,7,13,6,15,11,15,4,22,10,9,5,40,5,9,9,25,6,4,0,18,4,0,0,14,3,4,3,3
25900,Port Phillip,2018,76,64,74,63,44,43,49,32,129,97,93,57,124,155,171,105,106,175,155,143,47,121,106,131,12,78,44,90,0,0
25990,Pyrenees,2018,3,3,3,3,0,0,0,0,0,0,0,10,0,3,6,27,0,6,4,36,0,6,3,24,0,0,6,31,16,5
26080,Queenscliffe,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
26170,South Gippsland,2018,13,38,14,58,11,38,14,30,16,54,13,11,13,67,15,11,7,53,13,9,5,35,4,10,0,15,0,4,4,4
26260,Southern Grampians,2018,13,7,16,12,8,11,22,12,12,21,23,7,15,13,18,7,13,13,13,12,3,13,4,3,0,12,3,3,4,1
26350,Stonnington,2018,16,22,11,28,6,15,5,13,33,53,22,9,20,64,18,29,10,66,21,28,17,39,19,25,10,28,8,22,4,5
26430,Strathbogie,2018,0,0,0,0,0,0,0,0,5,11,0,0,7,15,0,4,4,8,5,3,0,8,0,0,0,4,0,3,7,13
26490,Surf Coast,2018,0,3,0,7,5,5,4,3,4,10,4,0,0,15,0,0,3,19,0,0,3,6,0,0,0,0,0,0,11,17
26610,Swan Hill,2018,8,20,12,19,18,29,11,18,46,78,27,18,28,94,33,30,23,63,19,30,12,43,20,18,4,32,10,25,3,1
26670,Towong,2018,0,0,0,0,0,0,0,0,4,6,4,0,0,8,4,0,0,6,0,3,0,5,0,0,0,3,0,0,6,9
26700,Wangaratta,2018,7,14,6,17,38,28,28,15,38,69,35,32,27,71,28,16,16,65,21,23,13,30,16,24,4,24,6,10,1,1
26730,Warrnambool,2018,25,41,24,52,31,90,42,68,37,109,36,53,23,69,23,31,16,66,21,40,5,34,11,18,3,24,11,10,6,5
26810,Wellington,2018,15,44,9,76,35,63,30,33,38,106,31,140,27,85,30,229,24,74,22,155,3,29,12,51,8,15,9,24,2,3
26890,West Wimmera,2018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,14,8
26980,Whitehorse,2018,31,107,33,108,28,118,21,121,45,107,40,70,38,142,33,58,26,148,51,58,22,100,22,53,6,79,24,48,0,2
27070,Whittlesea,2018,71,88,68,108,54,101,48,68,80,191,43,45,76,257,45,70,35,159,33,51,31,96,29,41,16,72,23,47,0,2
27170,Wodonga,2018,39,71,53,61,74,67,39,54,70,131,58,40,38,126,56,38,24,111,38,45,8,44,15,28,9,20,7,23,2,3
27260,Wyndham,2018,69,98,70,126,73,123,56,63,175,483,90,103,142,605,110,111,72,424,76,77,33,150,23,47,23,118,34,46,0,2
27350,Yarra,2018,30,15,18,18,23,18,25,15,91,80,67,29,46,72,73,52,33,48,58,42,19,31,38,45,10,30,17,26,2,3
27450,Yarra Ranges,2018,47,257,56,269,73,231,47,230,59,154,45,49,54,233,43,58,45,241,50,67,18,103,23,38,17,78,15,37,0,4
27630,Yarriambiack,2018,0,3,0,5,0,4,3,5,0,19,4,0,3,9,0,3,0,11,0,0,0,7,0,0,0,0,0,0,9,15
29399,Unincorporated Vic,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
30250,Aurukun,2018,0,0,0,0,0,4,0,0,0,12,0,0,0,12,0,0,0,7,0,0,0,4,0,0,0,3,0,0,3,6
30300,Balonne,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
30370,Banana,2018,13,0,8,0,0,0,4,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11
30410,Barcaldine,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
30450,Barcoo,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
30760,Blackall-Tambo,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
30900,Boulia,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
31000,Brisbane,2018,402,239,426,265,331,252,270,188,421,352,228,119,423,405,296,150,266,289,331,160,97,134,141,130,40,65,76,80,2,5
31750,Bulloo,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31820,Bundaberg,2018,56,29,52,21,40,20,38,14,32,37,33,27,33,48,29,12,16,28,21,20,4,13,12,12,0,8,4,8,3,0
31900,Burdekin,2018,6,0,6,0,4,0,0,0,11,15,6,0,7,28,8,14,7,12,6,16,0,10,3,8,4,7,0,7,5,6
31950,Burke,2018,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
32080,Cairns,2018,202,180,190,185,172,158,118,122,282,214,135,71,207,300,179,75,150,200,206,96,97,97,127,61,27,35,45,35,6,2
32250,Carpentaria,2018,4,8,0,4,0,3,0,3,5,6,3,0,0,11,0,0,0,6,0,0,4,8,0,0,0,0,0,0,4,5
